linea,estacion,afluencia_media,afluencia_std,proporcion_prepago,proporcion_gratuidad,proporcion_boleto,nivel_saturacion_medio
3,INDIOS VERDES,81029.32117163412,20917.051451097213,0.7615813254373373,0.09113590523934509,0.14728276932331763,1.2995889003083247
3,JUAREZ,12214.44964028777,4388.67960394697,0.6864235964210561,0.1743007675673705,0.13927563601157336,1.2995889003083247
3,LA RAZA,24125.138232271325,7374.088281715748,0.6826061744946086,0.15353257243873983,0.1638612530666516,1.2995889003083247
3,MIGUEL ANGEL DE QUEVEDO,26069.727646454267,8196.313070298798,0.7411441546253886,0.11486396297390984,0.14399188240070154,1.2995889003083247
3,NINOS HEROES,15389.5246659815,7194.760511522066,0.695023272464774,0.15677013053944658,0.14820659699577937,1.2995889003083247
3,POTRERO,11490.943473792395,3076.7789892984265,0.6818210382364924,0.15329855759305,0.1648804041704576,1.2990750256937307
3,TLATELOLCO,13402.345323741007,3958.046432902084,0.7129554716158717,0.14390135535268567,0.14314317303144256,1.2990750256937307
3,UNIVERSIDAD,44650.328365878726,19336.22109258887,0.7718360656350279,0.08518027164414893,0.14298366272082322,1.2995889003083247
3,VIVEROS/DERECHOS HUMANOS,15242.46762589928,4627.982000243859,0.7271267137325202,0.11988741911755794,0.15298586714992177,1.2995889003083247
3,ZAPATA,19627.951181911612,8466.102535832524,0.7113250991954264,0.1444105890256836,0.14426431177889007,1.2995889003083247
4,BONDOJITO,4657.478931140801,1256.5825134787433,0.6683981385701576,0.15934545833832242,0.17225640309151996,1.2995889003083247
4,CANAL DEL NORTE,6218.384892086331,1638.7855492591384,0.629869322934068,0.17725610971020486,0.19287456735572714,1.2995889003083247
4,CANDELARIA,8449.599177800617,3307.9519130114704,0.5516391301237232,0.2486696542364062,0.19969121563987052,1.2995889003083247
4,CONSULADO,2894.3931140801647,773.2782138561396,0.6362300586153968,0.2022021298396555,0.1615678115449477,1.2980472764645425
4,FRAY SERVANDO,7609.390544707091,2569.656574654241,0.6375263224036478,0.15031410802178988,0.2121595695745623,1.2995889003083247
4,JAMAICA,5791.230729701952,1564.3880026479937,0.6254338686651733,0.1899963952979946,0.1845697360368322,1.2995889003083247
4,MARTIN CARRERA,17383.331449126414,5852.861396451729,0.7268855287983761,0.11904000137028199,0.15407446983134201,1.2995889003083247
4,MORELOS,5923.701952723535,1202.8802018558442,0.5808659199828642,0.21954656942894035,0.19958751058819546,1.2985611510791366
4,SANTA ANITA,1651.7338129496402,467.2845475598682,0.6250507025880688,0.20379531987272953,0.17115397753920164,1.2970195272353546
4,TALISMAN,2985.455806783145,893.6509445204857,0.6869555490416887,0.1488063549402525,0.16423809601805886,1.2985611510791366
5,ARAGON,5796.668036998973,1558.4004682067093,0.6322115676389144,0.18006901178721363,0.1877194205738719,1.2995889003083247
5,AUTOBUSES DEL NORTE,17057.686536485096,4334.755001944506,0.6256719792586455,0.14419018610613069,0.2301378346352238,1.2990750256937307
5,CONSULADO,4180.642857142857,1102.5691196668986,0.5973742413037311,0.23670168464466454,0.16592407405160445,1.2980472764645425
5,EDUARDO MOLINA,5437.0118191161355,1708.0854419440104,0.7107826917798746,0.1564637097664809,0.1327535984536445,1.2990750256937307
5,HANGARES,4163.665981500514,1549.5185093245314,0.7201308562225179,0.1162209400512843,0.16364820372619773,1.2990750256937307
5,INSTITUTO DEL PETROLEO,4515.060123329908,1798.8435871086836,0.6839074235016352,0.1981190552379875,0.11797352126037731,1.2995889003083247
5,LA RAZA,8342.022096608427,2406.3721214014313,0.6715218533455523,0.1482894899855816,0.1801886566688661,1.2995889003083247
5,MISTERIOS,6317.127440904419,1841.676979790235,0.6847004607598336,0.1255745308989637,0.1897250083412027,1.2995889003083247
5,OCEANIA,7234.10174717369,2189.1220702567944,0.6489469253498771,0.1550918478920905,0.1959612267580325,1.2995889003083247
5,PANTITLAN,47530.77954779034,11759.594619615915,0.6841950109593117,0.10171849998280987,0.21408648905787844,1.2995889003083247
5,POLITECNICO,22742.86125385406,8606.459840455118,0.7311497915141645,0.10663924550272129,0.16221096298311416,1.2995889003083247
5,TERMINAL AEREA,14481.02569373073,3135.365807017183,0.7201126709635923,0.11056909730794173,0.1693182317284659,1.2995889003083247
